iter	RMSE
0	78026.1429
1	75939.17959
2	74039.19868
3	72283.81147
4	70400.90094
5	68478.25261
6	66776.78866
7	65271.06279
8	63609.38179
9	62052.2139
10	60785.83451
11	59263.50065
12	57999.86896
13	56769.8348
14	55509.20647
15	54388.75305
16	53259.84999
17	52061.16505
18	51099.54387
19	50095.94451
20	49139.2132
21	48172.39829
22	47214.1882
23	46355.97129
24	45605.2274
25	44752.46396
26	43973.24159
27	43144.62212
28	42396.62003
29	41661.59849
30	40931.06866
31	40279.40587
32	39647.03176
33	39065.54029
34	38519.49194
35	37965.28573
36	37362.88251
37	36763.48487
38	36270.06128
39	35840.62983
40	35408.73199
41	34926.88136
42	34475.17854
43	34063.20547
44	33532.54564
45	33143.27006
46	32715.80167
47	32433.71443
48	32031.05568
49	31723.67415
50	31284.68103
51	30959.478
52	30669.64699
53	30293.9494
54	29975.74995
55	29647.98332
56	29336.19503
57	29087.93944
58	28817.39493
59	28508.53884
60	28285.87215
61	28056.87889
62	27787.04073
63	27563.85251
64	27306.38209
65	27078.31002
66	26917.63617
67	26757.68825
68	26584.93431
69	26347.21317
70	26100.69213
71	25896.67772
72	25727.06826
73	25541.07586
74	25391.56529
75	25170.21818
76	24997.74404
77	24788.92686
78	24619.17844
79	24398.04789
80	24258.48856
81	24075.16627
82	23896.74274
83	23744.57082
84	23614.54337
85	23513.59117
86	23406.49852
87	23299.71997
88	23213.26921
89	23071.93527
90	22966.4169
91	22850.96573
92	22748.00398
93	22608.35955
94	22500.87982
95	22368.37095
96	22249.1479
97	22132.07718
98	22023.33451
99	21891.15856
100	21777.13633
101	21687.97332
102	21618.30706
103	21540.72187
104	21448.97587
105	21338.52421
106	21244.88732
107	21154.15092
108	21057.3444
109	20957.90276
110	20888.32142
111	20818.95823
112	20754.50458
113	20673.79444
114	20618.56953
115	20540.02185
116	20435.06999
117	20369.12199
118	20283.47152
119	20221.2546
120	20160.92731
121	20106.92091
122	20029.63988
123	19957.65545
124	19871.27455
125	19792.00944
126	19746.89882
127	19678.18881
128	19628.91045
129	19545.86998
130	19466.05731
131	19407.22739
132	19372.96517
133	19314.68114
134	19270.2963
135	19193.73656
136	19137.01678
137	19081.97662
138	19009.2492
139	18963.08607
140	18905.03191
141	18881.79213
142	18824.10331
143	18767.11461
144	18714.38454
145	18659.77516
146	18606.08995
147	18569.66087
148	18508.76756
149	18471.05136
150	18422.72374
151	18378.80074
152	18326.474
153	18291.3937
154	18247.50685
155	18203.66161
156	18149.04033
157	18106.26963
158	18027.24621
159	17994.48607
160	17945.87854
161	17883.79333
162	17827.69764
163	17794.47531
164	17755.80264
165	17721.41256
166	17688.27964
167	17657.91549
168	17631.11313
169	17569.92988
170	17523.1264
171	17508.08149
172	17479.48183
173	17445.59148
174	17429.71827
175	17390.69823
176	17348.95957
177	17307.92461
178	17272.84217
179	17233.61741
180	17221.10683
181	17180.51324
182	17141.84813
183	17092.80768
184	17051.94953
185	17021.496
186	16973.83287
187	16925.22658
188	16891.96844
189	16862.91462
190	16817.81388
191	16787.78647
192	16763.0066
193	16732.94505
194	16696.10008
195	16668.49683
196	16637.94531
197	16604.19832
198	16593.0997
199	16567.41716
200	16538.43232
201	16519.26808
202	16497.94545
203	16457.16933
204	16419.1298
205	16377.67034
206	16326.88714
207	16298.2792
208	16273.38437
209	16264.70933
210	16229.48979
211	16185.88749
212	16150.12603
213	16109.33784
214	16100.34261
215	16091.12279
216	16048.85085
217	16008.45874
218	15979.45845
219	15922.64996
220	15884.0161
221	15853.19611
222	15828.75534
223	15792.44818
224	15782.40225
225	15737.90179
226	15695.77594
227	15658.87905
228	15629.40726
229	15595.43926
230	15546.71808
231	15508.76929
232	15487.74437
233	15450.2544
234	15413.51794
235	15386.7605
236	15379.82639
237	15348.61379
238	15326.04871
239	15300.27551
240	15260.65499
241	15242.34339
242	15208.96681
243	15179.49004
244	15174.14461
245	15136.9901
246	15093.1531
247	15055.38328
248	15034.14869
249	14980.93277
250	14938.97246
251	14893.67773
252	14873.59205
253	14841.41219
254	14816.48793
255	14791.35809
256	14767.42491
257	14743.73134
258	14717.61593
259	14686.89906
260	14662.13742
261	14633.31886
262	14628.24547
263	14605.9411
264	14600.44909
265	14563.167
266	14528.10449
267	14522.78298
268	14494.49145
269	14473.11205
270	14464.62306
271	14459.2359
272	14443.32514
273	14421.49183
274	14401.14863
275	14384.38968
276	14360.00263
277	14354.96921
278	14322.38766
279	14296.52772
280	14266.98213
281	14241.83943
282	14219.05082
283	14191.87316
284	14173.36335
285	14128.50728
286	14105.56482
287	14099.66772
288	14094.98963
289	14059.00753
290	14035.85311
291	14009.65914
292	13979.6242
293	13975.3736
294	13970.98292
295	13930.40666
296	13912.37349
297	13884.25772
298	13857.84561
299	13826.86196
300	13805.21832
301	13786.79325
302	13750.72121
303	13722.64072
304	13697.91798
305	13672.15753
306	13645.83988
307	13627.32834
308	13598.201
309	13584.12761
310	13560.94569
311	13528.86706
312	13507.74683
313	13480.29695
314	13471.92726
315	13449.70126
316	13424.80699
317	13398.98275
318	13375.45433
319	13333.37669
320	13308.92171
321	13282.35746
322	13265.04069
323	13242.69074
324	13216.01318
325	13202.6753
326	13174.46862
327	13144.71598
328	13132.00984
329	13108.52903
330	13086.88598
331	13050.93364
332	13037.00023
333	13030.61731
334	13003.57741
335	12980.7091
336	12975.08288
337	12952.68216
338	12947.4975
339	12938.10376
340	12919.37383
341	12902.99148
342	12875.14467
343	12852.19021
344	12835.30195
345	12812.71309
346	12794.88849
347	12778.48967
348	12775.80763
349	12767.11038
350	12745.80159
351	12729.03002
352	12715.32808
353	12699.63917
354	12696.70407
355	12673.24683
356	12657.22051
357	12646.893
358	12631.28155
359	12615.90515
360	12596.5938
361	12584.85652
362	12567.97761
363	12541.57023
364	12531.56517
365	12526.51622
366	12508.90563
367	12506.41939
368	12485.78421
369	12484.02756
370	12482.19686
371	12461.96068
372	12436.59752
373	12416.64893
374	12396.00818
375	12373.52327
376	12340.45478
377	12337.31285
378	12322.82544
379	12299.6819
380	12276.76915
381	12252.1026
382	12222.38789
383	12206.72126
384	12179.57876
385	12154.86662
386	12139.32196
387	12116.74274
388	12101.11928
389	12080.64441
390	12051.4765
391	12042.85092
392	12015.32136
393	12008.11275
394	11985.48191
395	11968.76155
396	11967.14049
397	11947.12236
398	11927.98383
399	11906.14134
400	11883.09503
401	11874.53609
402	11860.7287
403	11846.66218
404	11826.92853
405	11807.02641
406	11784.2441
407	11761.42275
408	11732.20721
409	11714.40465
410	11698.58686
411	11681.0362
412	11668.10475
413	11664.83068
414	11642.53156
415	11628.44425
416	11596.63351
417	11577.57608
418	11540.83056
419	11518.56747
420	11516.20393
421	11498.58634
422	11480.81839
423	11467.49848
424	11466.00736
425	11449.94321
426	11432.83951
427	11415.29196
428	11391.05867
429	11363.53263
430	11352.63605
431	11338.77212
432	11310.79502
433	11274.74524
434	11254.97156
435	11238.53052
436	11236.2165
437	11215.22057
438	11200.82789
439	11199.1723
440	11188.80209
441	11170.3862
442	11152.55982
443	11126.85477
444	11110.2959
445	11089.4428
446	11067.49818
447	11049.52551
448	11037.83741
449	11027.02557
450	11009.36519
451	11007.83104
452	10994.25936
453	10992.78017
454	10970.86512
455	10962.25128
456	10948.41876
457	10929.72892
458	10915.91792
459	10912.81686
460	10894.78179
461	10882.33304
462	10864.65227
463	10846.58715
464	10825.33474
465	10809.20162
466	10797.94925
467	10779.65225
468	10757.13894
469	10738.49858
470	10715.94747
471	10708.21361
472	10688.52656
473	10668.18943
474	10652.52722
475	10634.90915
476	10622.67266
477	10609.41868
478	10602.75313
479	10587.65693
480	10583.23121
481	10568.13767
482	10556.52554
483	10547.3649
484	10538.80425
485	10535.5414
486	10519.59497
487	10506.49536
488	10504.97002
489	10498.24251
490	10475.02528
491	10461.22156
492	10448.26941
493	10437.55963
494	10417.19227
495	10395.90426
496	10382.74208
497	10372.03017
498	10361.68172
499	10348.35572
500	10328.67139
501	10323.75857
502	10301.2105
503	10290.46437
504	10277.91948
505	10270.00079
506	10254.23829
507	10242.02067
508	10232.0468
509	10231.11772
510	10221.65917
511	10208.5616
512	10196.99149
513	10178.5119
514	10165.02844
515	10148.64056
516	10136.50376
517	10126.70976
518	10122.05994
519	10105.34826
520	10080.70141
521	10074.41717
522	10053.31444
523	10037.42164
524	10030.09159
525	10015.17246
526	10003.64905
527	9995.318679
528	9977.056889
529	9965.158873
530	9947.731599
531	9937.010208
532	9920.548363
533	9908.777007
534	9893.811783
535	9878.576051
536	9868.105238
537	9848.61577
538	9837.106171
539	9826.406167
540	9814.303882
541	9807.295326
542	9792.422231
543	9780.533147
544	9774.973392
545	9763.341473
546	9737.908665
547	9729.037699
548	9717.575492
549	9708.204646
550	9690.148604
551	9678.246331
552	9660.454506
553	9656.598157
554	9642.575112
555	9631.697418
556	9622.228145
557	9621.079799
558	9609.349625
559	9593.73673
560	9581.223082
561	9573.065083
562	9557.438708
563	9545.951787
564	9538.728829
565	9525.851401
566	9510.488261
567	9505.521947
568	9494.452655
569	9485.977174
570	9473.058526
571	9465.537099
572	9455.155532
573	9447.920987
574	9438.065749
575	9433.211802
576	9418.147899
577	9408.93053
578	9391.822963
579	9375.073999
580	9358.405411
581	9349.371684
582	9337.797415
583	9325.920748
584	9307.540806
585	9301.342541
586	9290.465834
587	9269.248905
588	9259.914554
589	9240.235214
590	9235.196553
591	9229.931603
592	9221.750296
593	9217.245211
594	9205.465132
595	9186.609198
