iter	Passed	Remaining
0	2	2526
1	5	2700
2	7	2513
3	10	2505
4	12	2408
5	14	2397
6	15	2245
7	18	2234
8	20	2216
9	22	2201
10	24	2183
11	26	2170
12	28	2155
13	30	2158
14	32	2140
15	34	2135
16	36	2132
17	39	2131
18	41	2122
19	43	2120
20	45	2107
21	47	2097
22	49	2089
23	51	2080
24	53	2086
25	55	2080
26	57	2072
27	59	2060
28	61	2062
29	63	2052
30	65	2050
31	67	2040
32	69	2033
33	71	2025
34	73	2021
35	75	2015
36	77	2008
37	79	2001
38	80	1993
39	82	1989
40	84	1984
41	86	1977
42	88	1974
43	90	1968
44	92	1966
45	94	1964
46	96	1960
47	98	1956
48	100	1951
49	102	1950
50	104	1945
51	106	1944
52	108	1941
53	110	1938
54	112	1933
55	114	1929
56	116	1924
57	118	1931
58	120	1926
59	122	1922
60	124	1918
61	126	1916
62	128	1914
63	130	1910
64	132	1906
65	134	1904
66	136	1901
67	138	1897
68	140	1894
69	142	1891
70	144	1893
71	146	1890
72	148	1886
73	150	1882
74	152	1879
75	154	1876
76	156	1871
77	158	1871
78	160	1867
79	162	1865
80	164	1861
81	166	1858
82	167	1855
83	169	1852
84	171	1849
85	174	1853
86	176	1851
87	178	1848
88	180	1845
89	182	1841
90	184	1839
91	186	1836
92	188	1834
93	190	1831
94	191	1828
95	193	1825
96	195	1822
97	198	1829
98	201	1830
99	203	1830
100	205	1829
101	207	1828
102	209	1826
103	212	1826
104	214	1827
105	217	1832
106	219	1832
107	221	1832
108	224	1832
109	226	1832
110	228	1831
111	230	1830
112	233	1831
113	235	1831
114	237	1829
115	239	1828
116	241	1826
117	244	1827
118	246	1827
119	249	1827
120	251	1826
121	253	1825
122	255	1824
123	257	1822
124	260	1821
125	262	1817
126	264	1815
127	266	1812
128	268	1810
129	269	1806
130	272	1809
131	274	1807
132	276	1804
133	278	1800
134	280	1798
135	282	1795
136	284	1792
137	286	1790
138	288	1787
139	290	1784
140	292	1781
141	294	1778
142	296	1777
143	298	1775
144	300	1772
145	302	1769
146	304	1766
147	306	1763
148	308	1760
149	310	1757
150	312	1755
151	314	1752
152	316	1750
153	317	1746
154	319	1743
155	321	1741
156	323	1738
157	325	1735
158	327	1731
159	329	1729
160	331	1727
161	333	1724
162	335	1722
163	337	1718
164	339	1716
165	341	1713
166	343	1711
167	345	1708
168	347	1707
169	349	1704
170	351	1705
171	353	1702
172	355	1699
173	357	1696
174	359	1694
175	361	1692
176	363	1689
177	365	1687
178	367	1684
179	369	1681
180	371	1679
181	372	1675
182	374	1672
183	376	1670
184	378	1668
185	380	1665
186	382	1663
187	385	1663
188	386	1660
189	388	1657
190	390	1654
191	392	1652
192	394	1649
193	396	1646
194	398	1645
195	400	1643
196	402	1641
197	404	1639
198	406	1637
199	408	1635
200	410	1633
201	413	1631
202	414	1629
203	416	1626
204	418	1624
205	421	1622
206	422	1620
207	425	1618
208	427	1619
209	429	1616
210	431	1614
211	433	1612
212	435	1610
213	437	1608
214	439	1605
215	441	1603
216	443	1601
217	446	1600
218	448	1598
219	450	1595
220	452	1593
221	453	1590
222	456	1589
223	457	1586
224	460	1585
225	462	1583
226	464	1581
227	466	1578
228	468	1576
229	470	1574
230	472	1572
231	474	1569
232	476	1568
233	478	1566
234	481	1565
235	482	1563
236	485	1561
237	487	1559
238	489	1557
239	490	1554
240	493	1552
241	494	1550
242	497	1548
243	499	1546
244	500	1543
245	503	1542
246	505	1542
247	508	1541
248	510	1539
249	512	1537
250	514	1534
251	516	1532
252	518	1530
253	520	1528
254	522	1526
255	524	1523
256	526	1521
257	528	1518
258	530	1516
259	532	1514
260	534	1512
261	536	1511
262	538	1509
263	540	1507
264	542	1505
265	544	1502
266	546	1500
267	548	1498
268	550	1495
269	552	1493
270	554	1490
271	556	1488
272	558	1486
273	560	1484
274	562	1481
275	563	1479
276	565	1476
277	567	1474
278	569	1471
279	571	1469
280	573	1467
281	575	1465
282	577	1462
283	579	1460
284	581	1458
285	583	1456
286	585	1453
287	587	1451
288	588	1448
289	590	1446
290	592	1444
291	594	1441
292	596	1439
293	598	1437
294	601	1436
295	603	1434
296	605	1432
297	607	1430
298	609	1428
299	611	1425
300	613	1423
301	615	1421
302	617	1419
303	618	1416
304	621	1415
305	623	1413
306	625	1412
307	627	1410
308	629	1408
309	631	1405
310	633	1404
311	635	1401
312	637	1400
313	639	1398
314	642	1396
315	644	1394
316	646	1392
317	648	1390
318	650	1388
319	652	1385
320	654	1383
321	656	1382
322	658	1379
323	660	1378
324	662	1376
325	664	1374
326	666	1372
327	668	1370
328	670	1368
329	673	1366
330	674	1364
331	677	1362
332	679	1360
333	681	1358
334	683	1356
335	685	1354
336	687	1353
337	689	1351
338	691	1349
339	693	1346
340	695	1344
341	697	1342
342	699	1340
343	701	1338
344	703	1336
345	705	1333
346	707	1331
347	709	1329
348	711	1326
349	713	1324
350	715	1322
351	716	1319
352	718	1317
353	720	1315
354	722	1313
355	724	1310
356	726	1308
357	728	1306
358	730	1304
359	732	1301
360	733	1299
361	736	1297
362	738	1295
363	740	1293
364	742	1290
365	743	1288
366	745	1286
367	747	1284
368	749	1281
369	751	1279
370	753	1277
371	755	1275
372	757	1272
373	759	1270
374	760	1268
375	762	1266
376	764	1263
377	766	1261
378	768	1259
379	770	1257
380	772	1255
381	774	1253
382	776	1251
383	778	1248
384	780	1246
385	783	1245
386	784	1243
387	786	1241
388	788	1238
389	790	1236
390	792	1234
391	794	1232
392	797	1231
393	799	1229
394	801	1227
395	803	1225
396	805	1223
397	807	1221
398	809	1219
399	811	1217
400	813	1214
401	815	1212
402	817	1211
403	819	1209
404	821	1207
405	823	1205
406	825	1203
407	828	1201
408	830	1199
409	832	1197
410	834	1195
411	837	1195
412	839	1192
413	841	1191
414	844	1189
415	846	1187
416	848	1186
417	850	1184
418	853	1182
419	854	1180
420	857	1179
421	860	1178
422	862	1176
423	865	1175
424	867	1173
425	869	1171
426	871	1170
427	874	1168
428	876	1166
429	878	1164
430	881	1163
431	883	1161
432	885	1159
433	887	1157
434	889	1155
435	892	1154
436	894	1152
437	896	1150
438	898	1148
439	900	1146
440	902	1144
441	904	1141
442	906	1139
443	908	1137
444	910	1135
445	912	1133
446	914	1130
447	916	1128
448	918	1126
449	920	1124
450	922	1122
451	923	1120
452	925	1117
453	927	1115
454	929	1113
455	932	1112
456	934	1110
457	936	1107
458	938	1105
459	940	1103
460	942	1101
461	944	1099
462	946	1097
463	948	1095
464	950	1093
465	952	1091
466	954	1089
467	956	1087
468	959	1085
469	960	1083
470	962	1081
471	964	1079
472	966	1077
473	968	1075
474	970	1072
475	972	1070
476	974	1068
477	976	1066
478	978	1064
479	980	1062
480	982	1060
481	984	1057
482	986	1055
483	988	1053
484	990	1052
485	992	1049
486	994	1047
487	997	1046
488	999	1044
489	1001	1041
490	1003	1039
491	1005	1037
492	1007	1035
493	1009	1033
494	1011	1031
495	1013	1030
496	1015	1028
497	1017	1026
498	1019	1023
499	1021	1021
500	1023	1019
501	1025	1017
502	1028	1015
503	1030	1014
504	1032	1011
505	1034	1010
506	1036	1007
507	1038	1005
508	1040	1004
509	1042	1002
510	1045	1000
511	1047	998
512	1049	996
